LOCALITA,DATA,TMEDIA Â°C,TMIN Â°C,TMAX Â°C,PUNTORUGIADA Â°C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI,Pioggia,Nebbia
Torino,11/8/2016,5,0,12,0,53,24,5,13,0,1006,0,0,,0,0
Torino,11/9/2016,3,-2,7,0,60,15,5,9,0,1008,0,0,,0,0
Torino,11/10/2016,3,-2,10,1,68,28,6,11,0,1011,0,0,,0,0
Torino,11/11/2016,6,1,11,3,71,8,7,17,0,1012,0,0,,0,0
Torino,11/12/2016,6,-1,13,0,48,29,6,13,0,1016,0,0,,0,0
Torino,11/13/2016,7,3,11,1,57,14,6,11,0,1021,0,0,,0,0
Torino,11/14/2016,7,5,9,4,78,11,6,11,0,1027,0,0,pioggia ,1,0
Torino,11/15/2016,6,5,7,3,81,8,5,11,0,1030,0,0,,0,0
Torino,11/16/2016,6,2,9,2,78,5,4,7,0,1025,0,0,,0,0
Torino,11/17/2016,5,1,8,3,86,3,4,9,0,1021,0,0,,0,0
Torino,11/18/2016,7,5,8,5,90,2,4,9,0,1017,0,0,,0,0
Torino,11/19/2016,8,6,11,6,89,3,4,9,0,1012,0,0,,0,0
Torino,11/20/2016,7,5,9,6,90,5,5,11,0,1017,0,0,pioggia ,1,0
Torino,11/21/2016,8,7,9,8,97,3,5,9,0,1016,0,0,pioggia nebbia ,1,1
Torino,11/22/2016,10,9,11,10,98,5,4,11,0,1018,0,0,pioggia ,1,0
Torino,11/23/2016,11,10,13,11,99,4,8,15,0,1021,0,0,pioggia nebbia ,1,1
Torino,11/24/2016,13,11,13,12,94,3,23,33,46,1017,0,0,pioggia ,1,0
Torino,11/25/2016,13,10,14,11,92,7,16,32,0,1014,0,0,pioggia ,1,0
Torino,11/26/2016,11,7,15,9,87,9,4,9,0,1016,0,0,,0,0
Torino,11/27/2016,8,3,13,5,81,15,5,11,0,1012,0,0,nebbia ,0,1
Torino,11/28/2016,8,4,12,6,87,6,6,30,0,1014,0,0,pioggia nebbia ,1,1
Torino,11/29/2016,5,4,7,2,60,13,9,20,0,1028,0,0,,0,0
Torino,11/30/2016,3,-2,9,0,67,23,5,9,0,1030,0,0,,0,0
Torino,12/1/2016,5,-1,13,1,64,20,7,15,0,1022,0,0,,0,0
Torino,12/2/2016,7,2,14,2,61,24,9,15,0,1014,0,0,,0,0
Torino,12/3/2016,6,5,8,5,90,3,5,15,0,1021,0,0,pioggia ,1,0
Torino,12/4/2016,7,5,9,5,90,2,3,9,0,1026,0,0,,0,0
Torino,12/5/2016,7,3,11,4,81,4,5,13,0,1028,0,0,,0,0
Torino,12/6/2016,4,0,11,1,71,9,4,9,0,1028,0,0,,0,0
Torino,12/7/2016,4,-1,10,1,66,13,5,11,0,1034,0,0,,0,0
Torino,12/8/2016,4,-1,10,1,66,10,5,9,0,1036,0,0,,0,0
Torino,12/9/2016,4,-1,11,1,65,15,4,9,0,1031,0,0,,0,0
Torino,12/10/2016,4,-1,11,2,72,8,4,9,0,1027,0,0,,0,0
Torino,12/11/2016,4,0,10,2,77,7,4,11,0,1020,0,0,,0,0
Torino,12/12/2016,0,-1,3,2,98,1,4,9,0,1020,0,0,nebbia ,0,1
Torino,12/13/2016,-1,-4,4,2,98,1,4,9,0,1027,0,0,nebbia ,0,1
Torino,12/14/2016,-1,-3,3,2,98,0,3,6,0,1026,0,0,nebbia ,0,1
Torino,12/15/2016,-1,-4,5,2,94,2,4,9,0,1027,0,0,nebbia ,0,1
Torino,12/16/2016,1,-2,4,2,94,3,4,6,0,1032,0,0,nebbia ,0,1
Torino,12/17/2016,2,-2,8,1,84,5,4,9,0,1037,0,0,,0,0
Torino,12/18/2016,1,-4,7,0,74,8,4,11,0,1032,0,0,,0,0
Torino,12/19/2016,1,-2,4,2,90,6,8,22,0,1029,0,0,pioggia neve ,1,0
Torino,12/20/2016,5,2,7,4,91,7,11,19,0,1027,0,0,pioggia ,1,0
Torino,12/21/2016,7,3,9,6,93,9,6,17,0,1029,0,0,pioggia nebbia ,1,1
Torino,12/22/2016,6,1,13,3,83,18,5,9,0,1030,0,0,,0,0
Torino,12/23/2016,6,-1,13,2,71,23,4,9,0,1031,0,0,,0,0
Torino,12/24/2016,5,1,12,1,67,29,5,11,0,1028,0,0,,0,0
Torino,12/25/2016,5,1,10,2,70,23,6,11,0,1025,0,0,,0,0
Torino,12/26/2016,7,2,14,3,71,35,5,9,0,1027,0,0,,0,0
Torino,12/27/2016,8,2,16,2,59,31,6,17,0,1031,0,0,,0,0
Torino,12/28/2016,6,2,14,1,53,28,6,13,0,1033,0,0,,0,0
Torino,12/29/2016,4,0,6,2,73,9,7,17,0,1036,0,0,,0,0
Torino,12/30/2016,4,-1,8,2,79,9,4,9,0,1037,0,0,,0,0
Torino,12/31/2016,2,-2,9,0,74,8,5,9,0,1032,0,0,,0,0
